name	description	url	path	status	commit	note
iadeep	IADeep SC23 middleware GPU multiplexing	https://github.com/buzy-coder/IADeep.git	reference/repos/iadeep	cloned	78ca7f6	depth=1
adaptdl_pollux	Pollux OSDI21 / AdaptDL goodput scheduler	https://github.com/petuum/adaptdl.git	reference/repos/adaptdl_pollux	cloned	542e123	depth=1
gavel	Gavel OSDI20 heterogeneity-aware scheduler	https://github.com/stanford-futuredata/gavel.git	reference/repos/gavel	cloned	c4fa400	depth=1
decima_sim	Decima SIGCOMM19 scheduling simulator	https://github.com/hongzimao/decima-sim.git	reference/repos/decima_sim	cloned	c010dd7	depth=1
salus	Salus MLSys20 fine-grained GPU sharing	https://github.com/SymbioticLab/Salus.git	reference/repos/salus	cloned	7b7f5e0	depth=1
awesome_dl_scheduling_papers	Survey companion list with paper/code links for DL scheduling	https://github.com/S-Lab-SystemGroup/Awesome-DL-Scheduling-Papers.git	reference/repos/awesome_dl_scheduling_papers	cloned	f36e652	depth=1
allox	AlloX EuroSys20 compute allocation project	https://github.com/lenhattan86/allox	reference/repos/allox	cloned	55ed6bc	depth=1
allox_sim	AlloX simulation artifact	https://github.com/lenhattan86/allox_sim	reference/repos/allox_sim	cloned	2963b9a	depth=1
kubernetes-allox	AlloX-related Kubernetes scheduler fork	https://github.com/lenhattan86/kubernetes-allox	reference/repos/kubernetes-allox	cloned	0a9fd53d	depth=1
optimus	Optimus deep-learning cluster scheduler	https://github.com/pengyanghua/optimus	reference/repos/optimus	cloned	8c43920	depth=1
shockwave	Shockwave deep-learning cluster scheduler artifact	https://github.com/uw-mad-dash/shockwave	reference/repos/shockwave	cloned	8a44f4a	depth=1
sia_artifacts	Sia SOSP23 artifact repository	https://github.com/siasosp23/artifacts	reference/repos/sia_artifacts	cloned	aaf7a0d	full clone
tiresias	Tiresias GPU cluster scheduling artifact	https://github.com/symbioticlab/tiresias	reference/repos/tiresias	cloned	959f9b0	depth=1
