allocation_workers_ladder,boundary_closed_profiles,colocation_count_ladder,equivalent_nodes,eta_source_required,family,hardware_group,legacy_limits_bypassed,measured_profiles,missing_profiles,node,node_bucket,notes,priority,profile_axis,profile_ladder,quadrant,resident_mix,resource_kind,resource_state,row_id,runner,stable_gate,status,tier,workload_env,workload_key
"1,1,1,1,1,1,1","4,5,6,8","1,2,3,4,5,6,8",jtl110gpu2,tqdm/progress,cnn,gpu_3080ti_12gb_dual,true,"1,2,3",,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,Pure GPU CNN training surrogate with native progress. No resident load.,required,colocation_count,"1,2,3,4,5,6,8",q01_low_cpu_high_gpu,none,gpu,empty,gpu_3080ti_12gb_dual|q01_low_cpu_high_gpu|gpu_cnn_torch_resnet50|cnn|empty|none,torch_cnn_resnet50.cmd.tpl,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5,measured_to_capacity_boundary,T0_core_curve,cnn,gpu_cnn_torch_resnet50
"1,1,1,1","4,8","2,3,4,8",jtl110gpu2,tqdm/progress,cnn,gpu_3080ti_12gb_dual,true,"2,3",,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,Pure GPU CNN training surrogate with native progress. Same workload resident load below saturation.,required,colocation_count,"2,3,4,8",q01_low_cpu_high_gpu,same_workload_half_capacity,gpu,half_loaded,gpu_3080ti_12gb_dual|q01_low_cpu_high_gpu|gpu_cnn_torch_resnet50|cnn|half_loaded|same_workload_half_capacity,torch_cnn_resnet50.cmd.tpl,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; no_early_exit_for_residents,measured_to_capacity_boundary,T0_core_curve,cnn,gpu_cnn_torch_resnet50
"1,1,1,1,1,1,1","5,6,8","1,2,3,4,5,6,8",jtl110gpu2,tqdm/progress,cnn,gpu_3080ti_12gb_dual,true,"1,2,3,4",,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,Pure GPU CNN training surrogate with native progress. Escalate until stable row or capacity boundary.,required,colocation_count,"1,2,3,4,5,6,8",q01_low_cpu_high_gpu,same_workload_to_capacity_boundary,gpu,full_loaded,gpu_3080ti_12gb_dual|q01_low_cpu_high_gpu|gpu_cnn_torch_resnet50|cnn|full_loaded|same_workload_to_capacity_boundary,torch_cnn_resnet50.cmd.tpl,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; no_early_exit_for_residents,measured_to_capacity_boundary,T0_core_curve,cnn,gpu_cnn_torch_resnet50
"1,1,1",,"1,2,3",jtl110gpu2,tqdm/progress,cnn,gpu_3080ti_12gb_dual,true,"1,2,3",,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,"Pure GPU CNN training surrogate with native progress. Resident high-VRAM process, then add target.",required,colocation_count,"1,2,3",q01_low_cpu_high_gpu,llm_or_memory_resident,gpu,high_vram_resident,gpu_3080ti_12gb_dual|q01_low_cpu_high_gpu|gpu_cnn_torch_resnet50|cnn|high_vram_resident|llm_or_memory_resident,torch_cnn_resnet50.cmd.tpl,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; no_early_exit_for_residents,measured,T2_load_state,cnn,gpu_cnn_torch_resnet50
"1,1,1",,"1,2,3",jtl110gpu2,tqdm/progress,cnn,gpu_3080ti_12gb_dual,true,"1,2,3",,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,Pure GPU CNN training surrogate with native progress. Resident CPU pressure while measuring target marginal ETA.,required,colocation_count,"1,2,3",q01_low_cpu_high_gpu,cpu_worker_resident,gpu,cpu_resident,gpu_3080ti_12gb_dual|q01_low_cpu_high_gpu|gpu_cnn_torch_resnet50|cnn|cpu_resident|cpu_worker_resident,torch_cnn_resnet50.cmd.tpl,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; no_early_exit_for_residents,measured,T2_load_state,cnn,gpu_cnn_torch_resnet50
"1,1,1",,"1,2,3",jtl110gpu2,tqdm/progress,cnn,gpu_3080ti_12gb_dual,true,"1,2,3",,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,Pure GPU CNN training surrogate with native progress. Pairwise mixed GPU co-location.,required,colocation_count,"1,2,3",q01_low_cpu_high_gpu,cnn_plus_llm,gpu,mixed_colocation,gpu_3080ti_12gb_dual|q01_low_cpu_high_gpu|gpu_cnn_torch_resnet50|cnn|mixed_colocation|cnn_plus_llm,torch_cnn_resnet50.cmd.tpl,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; no_early_exit_for_residents,measured,T2_load_state,cnn,gpu_cnn_torch_resnet50
"1,1,1",,"1,2,3",jtl110gpu2,tqdm/progress,cnn,gpu_3080ti_12gb_dual,true,"1,2,3",,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,Pure GPU CNN training surrogate with native progress. Pairwise CNN/RL co-location.,required,colocation_count,"1,2,3",q01_low_cpu_high_gpu,cnn_plus_hybrid_rl,gpu,mixed_colocation,gpu_3080ti_12gb_dual|q01_low_cpu_high_gpu|gpu_cnn_torch_resnet50|cnn|mixed_colocation|cnn_plus_hybrid_rl,torch_cnn_resnet50.cmd.tpl,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; no_early_exit_for_residents,measured,T2_load_state,cnn,gpu_cnn_torch_resnet50
"1,1,1",,"1,2,3",jtl110gpu2,tqdm/progress,cnn,gpu_3080ti_12gb_dual,true,"1,2,3",,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,Pure GPU CNN training surrogate with native progress. Pairwise LLM/RL co-location.,required,colocation_count,"1,2,3",q01_low_cpu_high_gpu,llm_plus_hybrid_rl,gpu,mixed_colocation,gpu_3080ti_12gb_dual|q01_low_cpu_high_gpu|gpu_cnn_torch_resnet50|cnn|mixed_colocation|llm_plus_hybrid_rl,torch_cnn_resnet50.cmd.tpl,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; no_early_exit_for_residents,measured,T2_load_state,cnn,gpu_cnn_torch_resnet50
"1,1,1",,"1,2,3",jtl110gpu2,tqdm/progress,cnn,gpu_3080ti_12gb_dual,true,"1,2,3",,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,Pure GPU CNN training surrogate with native progress. Triple mixed GPU co-location.,required,colocation_count,"1,2,3",q01_low_cpu_high_gpu,cnn_plus_llm_plus_hybrid_rl,gpu,mixed_colocation,gpu_3080ti_12gb_dual|q01_low_cpu_high_gpu|gpu_cnn_torch_resnet50|cnn|mixed_colocation|cnn_plus_llm_plus_hybrid_rl,torch_cnn_resnet50.cmd.tpl,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; no_early_exit_for_residents,measured,T2_load_state,cnn,gpu_cnn_torch_resnet50
"1,1,1",,"1,2,3",jtl110gpu2,tqdm/progress,cnn,gpu_3080ti_12gb_dual,true,"1,2,3",,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,Pure GPU CNN training surrogate with native progress. CPU resident pressure plus GPU target.,required,colocation_count,"1,2,3",q01_low_cpu_high_gpu,cpu_plus_gpu_target,gpu,mixed_colocation,gpu_3080ti_12gb_dual|q01_low_cpu_high_gpu|gpu_cnn_torch_resnet50|cnn|mixed_colocation|cpu_plus_gpu_target,torch_cnn_resnet50.cmd.tpl,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; no_early_exit_for_residents,measured,T2_load_state,cnn,gpu_cnn_torch_resnet50
